user_id,t_start,t_end,lat,lon
0,12,24,40.04048834066828,-75.59206956114748
1,12,24,40.042362023812586,-75.59382683958106
2,12,23,40.03729674282518,-75.59630607878
3,12,22,40.03907708183764,-75.59664278040948
4,12,22,40.03778908002575,-75.59773547381168
5,12,24,40.040886248112166,-75.60254900487168
6,12,23,40.03857881495443,-75.59853941588483
7,12,22,40.03982839401523,-75.59760042099279
8,16,26,40.04354046023821,-75.59295488894428
9,16,26,40.033782316857724,-75.59222507154762
10,16,26,40.034159131157104,-75.59776675869519
11,16,27,40.03861887511601,-75.5965395371832
12,16,27,40.03943587500305,-75.59897434782974
13,16,28,40.037878563431036,-75.60289710415299
14,16,27,40.035755008167065,-75.60086857645906
15,16,26,40.0398479101177,-75.5960871368661
16,4,15,40.035222869289605,-75.58980403081854
17,4,15,40.04310155761355,-75.59266783426956
18,4,14,40.03741242720863,-75.59626091708984
19,4,16,40.03448881757471,-75.58905711461668
20,4,14,40.040653797288954,-75.60443628359457
21,4,16,40.037790006814824,-75.59298004379548
22,4,14,40.03818674923583,-75.59515777341339
23,4,14,40.043223989139705,-75.59595617500847
24,0,10,40.038052436152626,-75.5981835606149
25,0,10,40.035931829671725,-75.59195781918793
26,0,11,40.037921260652425,-75.59722449514065
27,0,10,40.038481502692726,-75.59722629338938
28,0,10,40.03962994302746,-75.59647637137174
29,0,10,40.03945340365613,-75.5937932268472
30,0,12,40.03944563393903,-75.59920014506504
31,0,11,40.039573686037556,-75.59876375729729
32,19,29,40.037276425476975,-75.59378259009418
33,19,31,40.040520309120076,-75.59519064370242
34,19,29,40.03810744822831,-75.59903756725434
35,19,29,40.040826959675044,-75.59828213483785
36,19,31,40.04237580710625,-75.59906723390786
37,19,29,40.03704620175411,-75.59752021153754
38,19,30,40.03863285225566,-75.59666566928364
39,19,31,40.03897484657716,-75.59671712602224
40,14,24,40.038019195395684,-75.59585778164477
41,14,25,40.04249596020849,-75.60015798037006
42,14,26,40.03393397374171,-75.5918480053257
43,14,24,40.04251257125442,-75.59927160708689
44,14,24,40.04070766037107,-75.60441905614515
45,14,26,40.04100104931129,-75.60480804794824
46,14,25,40.03680686619403,-75.59706268940411
47,14,25,40.0370240309718,-75.59920814422594
48,8,20,40.040185016022406,-75.59437059125521
49,8,20,40.03795600733696,-75.59653990346155
50,8,18,40.04251792479987,-75.60128956859754
51,8,18,40.03732647046598,-75.59545240292117
52,8,20,40.04410017784404,-75.59510091369529
53,8,18,40.04036445600606,-75.59619478994732
54,8,20,40.03466669856434,-75.59989790969212
55,8,18,40.04270390854884,-75.59111143814148
56,11,23,40.03764039854473,-75.60144394925368
57,11,22,40.04388519956456,-75.59917369542296
58,11,21,40.04002377381948,-75.59278889934309
59,11,21,40.03865771844639,-75.59651137071869
60,11,21,40.03849734612416,-75.59506766543359
61,11,22,40.03593667242297,-75.5982165683405
62,11,23,40.03927003850696,-75.5947998726048
63,11,23,40.042344858467,-75.60284299400692
64,13,24,40.038330968598835,-75.59710291233861
65,13,24,40.045011528327294,-75.5964553392564
66,13,23,40.03618055463132,-75.59690533985264
67,13,24,40.04327230995563,-75.60127230872581
68,13,24,40.03846998114388,-75.59665623176244
69,13,25,40.04052474805192,-75.5992635851922
70,13,24,40.03804728344431,-75.58797274042442
71,13,23,40.0333837533554,-75.60124666760925
72,9,19,40.033634715664256,-75.5976684044636
73,9,20,40.03850098924839,-75.5966021587465
74,9,19,40.04101174411239,-75.6037900872432
75,9,19,40.03820322174753,-75.60181014350326
76,9,21,40.037688680619766,-75.59296518922551
77,9,19,40.04341874461221,-75.59181461187372
78,9,20,40.040070035873704,-75.60498357815995
79,9,21,40.038770506721654,-75.59768749302435
80,5,17,40.038633989867286,-75.59634873956968
81,5,15,40.03987548367749,-75.59707756815777
82,5,15,40.039607266073055,-75.6038109315581
83,5,17,40.03612427171439,-75.59854692197278
84,5,16,40.038384430853746,-75.59926563348513
85,5,15,40.03444037353959,-75.58951696286712
86,5,17,40.03869312959304,-75.59668503942892
87,5,15,40.0385909728907,-75.59652087671088
88,25,37,40.03752464377757,-75.59693691093365
89,25,36,40.03678861031643,-75.59699483870456
90,25,35,40.03870492210747,-75.59013755657821
91,25,36,40.03424223912759,-75.59075754804843
92,25,37,40.03887886592827,-75.59592026697045
93,25,37,40.038336687992256,-75.6008932019429
94,25,37,40.035346972589224,-75.59639198175816
95,25,37,40.038197169949996,-75.59678444861444
96,2,14,40.03846506924716,-75.59664487945942
97,2,13,40.03600823906376,-75.59183561421234
98,2,12,40.03756481821771,-75.59632480466418
99,2,14,40.036968942873386,-75.60356325401753
100,2,14,40.03678370019813,-75.59445099036368
101,2,13,40.03451873492811,-75.59390286508666
102,2,14,40.03652125019094,-75.59652098577521
103,2,13,40.040684080251864,-75.59271464578455
104,22,33,40.040197885820454,-75.59930956120863
105,22,33,40.044083665756546,-75.60140751662263
106,22,34,40.03314346887457,-75.60159157597043
107,22,34,40.04044867959595,-75.59507868889426
108,22,34,40.03803188161087,-75.5950252981631
109,22,33,40.03246981006593,-75.59964998069435
110,22,33,40.03661105129825,-75.59009426333995
111,22,34,40.04031017282728,-75.6026707946476
112,21,31,40.03536149702916,-75.5987833153457
113,21,32,40.03424087966246,-75.59414638384871
114,21,33,40.03779017930843,-75.59203195795574
115,21,33,40.03802470516433,-75.60070907689176
116,21,31,40.032988146035756,-75.59306827354163
117,21,31,40.03835198185735,-75.59606563017505
118,21,31,40.04016001541172,-75.59897083265949
119,21,31,40.036028404566046,-75.60069330958878
120,6,16,40.03864441090043,-75.59661047823546
121,6,16,40.035448830375195,-75.59983453266842
122,6,17,40.03343218623746,-75.59934133414185
123,6,18,40.038654589070866,-75.60034615807173
124,6,16,40.038593158159415,-75.60328087839385
125,6,17,40.03675589222613,-75.59368682733147
126,6,17,40.04030816807041,-75.59197252429739
127,6,18,40.03782067075619,-75.59702654788359
128,24,34,40.0346391034422,-75.60190790049896
129,24,34,40.03368517589241,-75.59375409907216
130,24,34,40.03794529931685,-75.59518492454323
131,24,36,40.038942472180395,-75.5988794282391
132,24,36,40.03888129782779,-75.60202008762579
133,24,34,40.03325849215114,-75.6027131125845
134,24,36,40.03823045049716,-75.60435561516195
135,24,36,40.034017356408555,-75.6035011185523
136,17,28,40.04143813008357,-75.59725340490662
137,17,29,40.03847477970447,-75.59480315411523
138,17,27,40.03911096894667,-75.60566862599491
139,17,27,40.03332329565301,-75.59451849235535
140,17,29,40.041214975742555,-75.59519252623771
141,17,28,40.04002993012093,-75.58948727521363
142,17,27,40.04208194932306,-75.59251656970686
143,17,28,40.040312988145324,-75.59867056777405
144,15,27,40.038572752175966,-75.59711542385037
145,15,25,40.04405424196922,-75.59492273853402
146,15,26,40.03293981499624,-75.59883456116432
147,15,26,40.037759900737086,-75.60096589335527
148,15,27,40.03794124599662,-75.5957771727904
149,15,25,40.03513720643414,-75.59312281963885
150,15,27,40.04449221566263,-75.59885835801633
151,15,27,40.04228618694247,-75.59877738234968
152,27,39,40.041121855499604,-75.59570887253292
153,27,38,40.03966628123441,-75.5936235004291
154,27,37,40.039580647415626,-75.59447713804528
155,27,39,40.037268786636815,-75.59454435941248
156,27,38,40.03887840205725,-75.59523117809431
157,27,38,40.038628567646896,-75.5970782151125
158,27,38,40.03501071506884,-75.60429314056279
159,27,37,40.04057863334884,-75.59625070370741
160,26,36,40.036598399864374,-75.59949521553243
161,26,36,40.03605414691685,-75.60203878502845
162,26,37,40.03844420630102,-75.59431271285158
163,26,38,40.04291039065578,-75.59803762616465
164,26,38,40.040875993264436,-75.59604309238307
165,26,36,40.03815778217766,-75.59531729406116
166,26,36,40.03816980874311,-75.59024515543427
167,26,38,40.039989088645655,-75.60100687828609
168,7,19,40.0326858419041,-75.59312054080657
169,7,18,40.032456258901824,-75.59299142921489
170,7,19,40.038496862759594,-75.59541107888755
171,7,18,40.042143860808686,-75.59885614644026
172,7,19,40.0410327200717,-75.59759795759203
173,7,17,40.035683537855576,-75.59447885056592
174,7,17,40.03610077443132,-75.60437806824905
175,7,19,40.04208291121841,-75.60478495181812
176,1,11,40.04033851247054,-75.59494529720335
177,1,12,40.03869233335084,-75.60191012245815
178,1,13,40.039827454953944,-75.59700904225302
179,1,11,40.03963663546786,-75.59527929414378
180,1,13,40.04049957944239,-75.60494957460998
181,1,13,40.04449475755657,-75.59812619804418
182,1,11,40.03624956916558,-75.59802494506599
183,1,11,40.03762351649438,-75.59730894802017
184,23,34,40.03858409048423,-75.59551528987761
185,23,34,40.03828893267046,-75.5980419223533
186,23,35,40.040424924546414,-75.59102041207395
187,23,33,40.032488158861256,-75.59686131172623
188,23,34,40.041719680894346,-75.59546050047078
189,23,34,40.04301842404813,-75.5971721634245
190,23,34,40.04133279901785,-75.58909107343322
191,23,35,40.04296246444759,-75.60225913232226
192,28,39,40.03577732749393,-75.60341323602897
193,28,39,40.04052189016884,-75.59560969198016
194,28,39,40.041318152179194,-75.59887380087174
195,28,38,40.036648405809984,-75.60412341159147
196,28,38,40.044331253736026,-75.59794872244939
197,28,39,40.033866278657264,-75.59722457858018
198,28,39,40.04138130291877,-75.59448634409364
199,28,39,40.03809210995466,-75.5960813467095
